sr._no.,work_category,work,state,ida,hon'ble_members_of_parliament,constituency,work_description,recommended_date_x,sanction_date,sanction_amount__₹_,work_status,project_id,recommended_date_y,recommended_amount____₹_,completion_date,amount_disbursed__₹_,total_expenditure,payment_count,latest_payment_date,completed_flag,fund_utilization,expenditure_ratio,project_age_days,over_budget,missing_completion,anomaly_prediction,cost_anomaly_flag,anomaly_score,anomaly_reason
65,Normal/Others,"WS/MP577/2024-2025/133597-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nimach game nichvas faliya ma c.c.road nu kam,17-Jul-2024,2025-03-27,249291.0,Physical Inspection,WS/MP577/2024-2025/133597,17-Jul-2024,249291.0,,,249291.0,1.0,2026-08-20,0,1.0,1.0,530.0,0,1,1,0,0.20374572320032458,Detected by Isolation Forest pattern analysis
68,Normal/Others,"WS/MP577/2024-2025/133600-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),sahada game nishal faliya thi khaped faliya ne jodto c.c.road nu kam,17-Jul-2024,2025-03-27,249291.0,Physical Inspection,WS/MP577/2024-2025/133600,17-Jul-2024,249291.0,2026-08-21,249291.0,249291.0,1.0,2026-07-03,1,1.0,1.0,530.0,0,0,1,0,0.20374572320032458,Detected by Isolation Forest pattern analysis
69,Normal/Others,"WS/MP577/2024-2025/133601-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nava faliya thi bamniya sudhi c.c.road nu kam,17-Jul-2024,2025-03-27,249291.0,Physical Inspection,WS/MP577/2024-2025/133601,17-Jul-2024,249291.0,2026-08-23,249291.0,249291.0,1.0,2026-07-01,1,1.0,1.0,530.0,0,0,1,0,0.20374572320032458,Detected by Isolation Forest pattern analysis
70,Normal/Others,WS/MP577/2025-2026/133602-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nadhelav game burva  faliyama sarvjanik kuva nu kam,17-Jul-2024,2026-01-12,250000.0,Physical Inspection,WS/MP577/2025-2026/133602,17-Jul-2024,250000.0,,,250000.0,1.0,2026-08-20,0,1.0,1.0,239.0,0,1,1,0,0.16189691291430192,Detected by Isolation Forest pattern analysis
179,Normal/Others,WS/MP18067/2025-2026/134321-Construction of water tanks,Haryana,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,one Tractor ambulance purchase in Gaushala Panchyati Land village kheri gujjar,15-Mar-2025,2026-02-17,545000.0,Work partially Completed,WS/MP18067/2025-2026/134321,15-Mar-2025,545000.0,,,475750.0,1.0,2026-07-02,0,0.8729357798165137,0.8729357798165137,203.0,0,1,1,0,0.02416920978947379,Detected by Isolation Forest pattern analysis
239,Normal/Others,WS/MP18065/2025-2026/134736-Construction of buildings for multi-gym,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Const. of Kabaddi Hall near Shiv Mandir,05-Aug-2024,2025-09-01,1000000.0,Physical Inspection,WS/MP18065/2025-2026/134736,05-Aug-2024,1000000.0,,,730401.0,2.0,2026-07-26,0,0.730401,0.730401,372.0,0,1,-1,1,-0.01466917639308618,Detected by Isolation Forest pattern analysis
241,Normal/Others,WS/MP18065/2024-2025/134739-Construction of community centers and community halls,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Comp. of Jogi wali Choupal,05-Aug-2024,2024-12-09,500000.0,Physical Inspection,WS/MP18065/2024-2025/134739,05-Aug-2024,500000.0,2026-02-09,438977.0,438977.0,1.0,2026-03-25,1,0.877954,0.877954,638.0,0,0,1,0,0.06527401855575055,Detected by Isolation Forest pattern analysis
242,Normal/Others,WS/MP18065/2025-2026/134740-Construction of community centers and community halls,Haryana,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,Const. of Hall near Gorakh Nath Mandir on Panchayat land,05-Aug-2024,2025-08-04,1100000.0,Work Completed,WS/MP18065/2025-2026/134740,05-Aug-2024,1100000.0,2026-03-13,947837.0,947837.0,1.0,2026-03-13,1,0.86167,0.86167,400.0,0,0,1,0,0.04320476116090732,Detected by Isolation Forest pattern analysis
286,Normal/Others,WS/MP345/2024-2025/135013-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,"Construction of Building for Kadamancode ST Gothra Kalalaya Samskarika Granthasala, Kadamancodu ward 12 in Kulathupuzha GP in Punalur Constituency",08-Aug-2024,2025-03-13,2500000.0,Work partially Completed,WS/MP345/2024-2025/135013,08-Aug-2024,2500000.0,,,1325973.0,1.0,2026-09-01,0,0.5303892,0.5303892,544.0,0,1,1,0,0.07188257713049395,Detected by Isolation Forest pattern analysis
401,Repair and Renovation,WS/MP826/2024-2025/135523-Construction of community centers and community halls,West Bengal,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),Raju Bista,DARJEELING,"Renovation of Community Hall at Amar Gram Bhaktay Busty, Sansad III, PO-Rajbari  Ref: Premendra Sampang Rai (9563149615), Member, Darjeeling-I GP",16-Aug-2024,2025-03-05,500000.0,Physical Inspection,WS/MP826/2024-2025/135523,16-Aug-2024,500000.0,,,497351.0,1.0,2026-07-26,0,0.994702,0.994702,552.0,0,1,1,0,0.16475581647704762,Detected by Isolation Forest pattern analysis
406,Normal/Others,WS/MP826/2024-2025/135528-Development of playground,West Bengal,KALIMPONG(District Magistrate Kalimpong_IDA),Raju Bista,DARJEELING,"Construction of gallery at Chunabhatti, Pabringtar Bakrakote  Ref: Shanti Khawas Mukhia (7501515888), Member, Pabringtar GP",16-Aug-2024,2025-01-15,499834.0,Work Completed,WS/MP826/2024-2025/135528,16-Aug-2024,499834.0,2026-02-18,460889.0,460889.0,1.0,2026-02-18,1,0.9220841319318014,0.9220841319318014,601.0,0,0,1,0,0.0750379213522826,Detected by Isolation Forest pattern analysis
413,Normal/Others,WS/MP431/2024-2025/135540-Retrofitting in essential lifeline buildings,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),Rao Inderjit Singh,GURGAON,Installation of AC unit plant for Litigant Main Hall in Distt. Court Hisar,13-Aug-2024,2025-01-30,1100000.0,Work Completed,WS/MP431/2024-2025/135540,,,2026-02-19,1019947.0,1019947.0,1.0,2026-02-19,1,0.9272245454545456,,586.0,0,0,1,0,0.18998533388494404,Detected by Isolation Forest pattern analysis
478,Normal/Others,WS/MP826/2025-2026/135686-Construction of additional rooms and halls in the existing public and community building,West Bengal,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),Raju Bista,DARJEELING,"Construction of additional rooms at community Samaj GHar  Ref: Sailendra Dewan (9635124527), Member Lamahatta GP",16-Aug-2024,2025-04-23,495649.0,Physical Inspection,WS/MP826/2025-2026/135686,16-Aug-2024,495649.0,2026-02-18,495649.0,495649.0,1.0,2026-02-18,1,1.0,1.0,503.0,0,0,1,0,0.19436277524029943,Detected by Isolation Forest pattern analysis
481,Normal/Others,"WS/MP826/2024-2025/135689-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),Raju Bista,DARJEELING,"COnstruction of Road with drainage systems at Sukna Part-II, near Sukna Community Hall  Ref: Hemawati Tamang (8759964663) & Surjamani Brahman (7719232082), Members Sukna GP",16-Aug-2024,2025-03-12,858881.0,Physical Inspection,WS/MP826/2024-2025/135689,16-Aug-2024,858881.0,2026-08-19,858881.0,858881.0,1.0,2026-06-18,1,1.0,1.0,545.0,0,0,1,0,0.20399236917431823,Detected by Isolation Forest pattern analysis
534,Normal/Others,WS/MP18065/2025-2026/135808-Construction of buildings for sports facilities,Haryana,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,Development works in Sakshi Malik Gym Hall,16-Aug-2024,2025-08-04,500000.0,Vendor Identification,WS/MP18065/2025-2026/135808,16-Aug-2024,500000.0,,,498512.0,2.0,2026-06-18,0,0.997024,0.997024,400.0,0,1,1,0,0.05799168175457614,Detected by Isolation Forest pattern analysis
554,Normal/Others,WS/MP352/2025-2026/135862-Construction of buildings for crèches and anganwadies,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,"Construction of Smart Anganwadi at Ward 21, Chellanam Grama Panchayath",16-Aug-2024,2025-09-23,2362903.0,Physical Inspection,WS/MP352/2025-2026/135862,16-Aug-2024,2362903.0,2026-07-14,2362903.0,156350.0,3.0,2026-03-27,1,0.0661686070058737,0.0661686070058737,350.0,0,0,-1,1,-0.03424670492980719,Detected by Isolation Forest pattern analysis
629,Normal/Others,WS/MP394/2024-2025/136033-Construction of buildings for crèches and anganwadies,Tamil Nadu,KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA),Shri vijayakumar Vasanth,KANNIYAKUMARI,chennanvilai,17-Aug-2024,2024-09-24,1287207.0,Physical Inspection,WS/MP394/2024-2025/136033,17-Aug-2024,1287207.0,2026-01-20,1287207.0,1287207.0,1.0,2026-01-20,1,1.0,1.0,714.0,0,0,1,0,0.13847941893313293,Project age unusually high
631,Normal/Others,WS/MP394/2024-2025/136036-Construction of bus-sheds or bus-stops,Tamil Nadu,KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA),Shri vijayakumar Vasanth,KANNIYAKUMARI,kurusadi,17-Aug-2024,2024-09-24,369433.0,Physical Inspection,WS/MP394/2024-2025/136036,17-Aug-2024,369433.0,2026-01-21,369433.0,369433.0,1.0,2026-01-21,1,1.0,1.0,714.0,0,0,1,0,0.13847941893313293,Project age unusually high
632,Normal/Others,WS/MP394/2024-2025/136037-Construction of culverts and bridges,Tamil Nadu,KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA),Shri vijayakumar Vasanth,KANNIYAKUMARI,konam aatru paalam,17-Aug-2024,2024-09-24,1000000.0,Physical Inspection,WS/MP394/2024-2025/136037,17-Aug-2024,1000000.0,2025-12-31,1000000.0,1000000.0,1.0,2025-12-31,1,1.0,1.0,714.0,0,0,1,0,0.13847941893313293,Project age unusually high
633,Normal/Others,WS/MP394/2025-2026/136038-Construction of community centers and community halls,Tamil Nadu,KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA),Shri vijayakumar Vasanth,KANNIYAKUMARI,ooratchi vilagam pal nokku kattidam,17-Aug-2024,2026-03-03,1000000.0,Physical Inspection,WS/MP394/2025-2026/136038,17-Aug-2024,1000000.0,,,958811.0,1.0,2026-03-12,0,0.958811,0.958811,189.0,0,1,1,0,0.0568361113585385,Detected by Isolation Forest pattern analysis
711,Normal/Others,WS/MP334/2024-2025/136572-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light in chalmo chowk of berha suiyadih village of berha suiyadih panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136572,21-Aug-2024,150000.0,,,149709.0,1.0,2026-06-29,0,0.99806,0.99806,608.0,0,1,1,0,0.2103994486559475,Detected by Isolation Forest pattern analysis
715,Normal/Others,WS/MP334/2024-2025/136582-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near chegro panchayat bhavan of chegro village of chegro panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136582,21-Aug-2024,150000.0,,,149711.0,1.0,2026-06-29,0,0.9980733333333334,0.9980733333333334,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
716,Normal/Others,WS/MP334/2024-2025/136583-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near dhawatand chowk of dhawatand village of chachando panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136583,21-Aug-2024,150000.0,,,149709.0,1.0,2026-07-02,0,0.99806,0.99806,608.0,0,1,1,0,0.2103994486559475,Detected by Isolation Forest pattern analysis
717,Normal/Others,WS/MP334/2024-2025/136584-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light in telkhara mod of telkhara village of kalhabar panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136584,21-Aug-2024,150000.0,,,149709.0,1.0,2026-06-29,0,0.99806,0.99806,608.0,0,1,1,0,0.2103994486559475,Detected by Isolation Forest pattern analysis
720,Normal/Others,WS/MP334/2024-2025/136587-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near bajrang bali mandir of atki village of atki panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136587,21-Aug-2024,150000.0,,,149709.0,1.0,2026-06-29,0,0.99806,0.99806,608.0,0,1,1,0,0.2103994486559475,Detected by Isolation Forest pattern analysis
721,Normal/Others,WS/MP334/2024-2025/136588-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near dhawatand bazaar tand durga mandir of dhawatand village of chachando panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136588,21-Aug-2024,150000.0,,,149709.0,1.0,2026-06-29,0,0.99806,0.99806,608.0,0,1,1,0,0.2103994486559475,Detected by Isolation Forest pattern analysis
722,Normal/Others,WS/MP334/2024-2025/136589-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near chainpur bazaartand of chainpur village of chainpur panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136589,21-Aug-2024,150000.0,,,149752.0,1.0,2026-06-29,0,0.9983466666666668,0.9983466666666668,608.0,0,1,1,0,0.20555852313701328,Detected by Isolation Forest pattern analysis
724,Normal/Others,WS/MP334/2024-2025/136591-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near chegro shiv mandir of chegro village of chegro panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136591,21-Aug-2024,150000.0,,,149710.0,1.0,2026-06-29,0,0.9980666666666668,0.9980666666666668,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
725,Normal/Others,WS/MP334/2024-2025/136598-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near fatehpur bajrangbali mandir of fatehpur village of parsabeda panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136598,21-Aug-2024,150000.0,,,149711.0,1.0,2026-06-29,0,0.9980733333333334,0.9980733333333334,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
726,Normal/Others,WS/MP334/2024-2025/136599-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near shiv mandir of amra village of amra panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136599,21-Aug-2024,150000.0,,,149711.0,1.0,2026-06-29,0,0.9980733333333334,0.9980733333333334,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
727,Normal/Others,WS/MP334/2024-2025/136600-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near shiv mandir simradih of dumri panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136600,21-Aug-2024,150000.0,,,149711.0,1.0,2026-06-29,0,0.9980733333333334,0.9980733333333334,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
730,Normal/Others,WS/MP334/2024-2025/136611-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near mansa mandir of dudhpaniya village of madhyagopali panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136611,21-Aug-2024,150000.0,,,149710.0,1.0,2026-06-29,0,0.9980666666666668,0.9980666666666668,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
731,Normal/Others,WS/MP334/2024-2025/136612-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near pordag mod of asurbandh village of asurbandh panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136612,21-Aug-2024,150000.0,,,149711.0,1.0,2026-07-02,0,0.9980733333333334,0.9980733333333334,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
732,Normal/Others,WS/MP334/2024-2025/136613-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near bajrang bali mandir of khankikala village of dumarchutiyo panchayat.,21-Aug-2024,2025-01-08,150000.0,Vendor Identification,WS/MP334/2024-2025/136613,21-Aug-2024,150000.0,,,149711.0,1.0,2026-06-29,0,0.9980733333333334,0.9980733333333334,608.0,0,1,1,0,0.2099972843462385,Detected by Isolation Forest pattern analysis
735,Normal/Others,WS/MP334/2024-2025/136616-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near shiv mandir of jaruwadih village of bharkhar panchayat.,21-Aug-2024,2025-02-10,150000.0,Vendor Identification,WS/MP334/2024-2025/136616,21-Aug-2024,150000.0,,,149710.0,1.0,2026-06-29,0,0.9980666666666668,0.9980666666666668,575.0,0,1,1,0,0.20324404428768983,Detected by Isolation Forest pattern analysis
739,Normal/Others,WS/MP334/2024-2025/136620-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near bikhnidih mandir of pipradih village of poraiya panchayat.,21-Aug-2024,2025-02-10,150000.0,Vendor Identification,WS/MP334/2024-2025/136620,21-Aug-2024,150000.0,,,149710.0,1.0,2026-07-02,0,0.9980666666666668,0.9980666666666668,575.0,0,1,1,0,0.20324404428768983,Detected by Isolation Forest pattern analysis
740,Normal/Others,WS/MP334/2024-2025/136622-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near club bhawan of balthariya village of balthariya panchayat.,21-Aug-2024,2025-02-10,150000.0,Vendor Identification,WS/MP334/2024-2025/136622,21-Aug-2024,150000.0,,,149710.0,1.0,2026-06-29,0,0.9980666666666668,0.9980666666666668,575.0,0,1,1,0,0.20324404428768983,Detected by Isolation Forest pattern analysis
742,Normal/Others,WS/MP334/2024-2025/136625-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near madhwadih mandir of madhwadih village of thakurchak panchayat.,21-Aug-2024,2025-02-10,150000.0,Vendor Identification,WS/MP334/2024-2025/136625,21-Aug-2024,150000.0,,,149710.0,1.0,2026-06-29,0,0.9980666666666668,0.9980666666666668,575.0,0,1,1,0,0.20324404428768983,Detected by Isolation Forest pattern analysis
754,Normal/Others,WS/MP334/2024-2025/136642-Lighting of public spaces,Jharkhand,GIRIDIH(Deputy Commissioner Giridh_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,construction of mask light near radhekrishna thakurbadi mandir of isri north panchayat.,21-Aug-2024,2025-02-10,150000.0,Vendor Identification,WS/MP334/2024-2025/136642,21-Aug-2024,150000.0,,,149710.0,1.0,2026-03-19,0,0.9980666666666668,0.9980666666666668,575.0,0,1,1,0,0.20324404428768983,Detected by Isolation Forest pattern analysis
